fold,feature,perturbation_level,feature_mean,feature_std,clean_f1,perturbed_f1,delta_f1,clean_balanced_accuracy,perturbed_balanced_accuracy,delta_balanced_accuracy,clean_roc_auc,perturbed_roc_auc,delta_roc_auc
1,sttl,0.05,179.44665252279844,102.97989218097646,0.943649116665208,0.9427727432033245,-0.0008763734618835173,0.9083224455187088,0.9076760453237974,-0.0006464001949113563,0.968902421829733,0.9628532227244488,-0.00604919910528412
1,sttl,0.1,179.44665252279844,102.97989218097646,0.943649116665208,0.9390375675336098,-0.004611549131598225,0.9083224455187088,0.9043130660266436,-0.004009379492065146,0.968902421829733,0.9606513962002887,-0.008251025629444242
1,sttl,0.2,179.44665252279844,102.97989218097646,0.943649116665208,0.9271635589785164,-0.016485557686691577,0.9083224455187088,0.8912347577665266,-0.017087687752182168,0.968902421829733,0.9544209294581925,-0.014481492371540505
1,ct_state_ttl,0.05,1.3027529214502027,0.9536833313181854,0.943649116665208,0.943649116665208,0.0,0.9083224455187088,0.9083224455187088,0.0,0.968902421829733,0.9689024225030671,6.733341662013004e-10
1,ct_state_ttl,0.1,1.3027529214502027,0.9536833313181854,0.943649116665208,0.943649116665208,0.0,0.9083224455187088,0.9083224455187088,0.0,0.968902421829733,0.9689024225030671,6.733341662013004e-10
1,ct_state_ttl,0.2,1.3027529214502027,0.9536833313181854,0.943649116665208,0.9436929616202026,4.3844954994542995e-05,0.9083224455187088,0.9083175045920722,-4.9409266366096105e-06,0.968902421829733,0.9687580125090958,-0.00014440932063719547
1,dload,0.05,677901.0225179307,2442962.005078767,0.943649116665208,0.9488529340738951,0.005203817408687139,0.9083224455187088,0.893475200009222,-0.014847245509486795,0.968902421829733,0.9652153357905723,-0.003687086039160681
1,dload,0.1,677901.0225179307,2442962.005078767,0.943649116665208,0.9492032473250582,0.0055541306598502205,0.9083224455187088,0.8934055934090597,-0.014916852109649104,0.968902421829733,0.9641280316234389,-0.00477439020629411
1,dload,0.2,677901.0225179307,2442962.005078767,0.943649116665208,0.9484312235370752,0.004782106871867198,0.9083224455187088,0.892146253690848,-0.016176191827860786,0.968902421829733,0.9645727244474168,-0.004329697382316144
1,ct_dst_sport_ltm,0.05,4.2077095488220095,5.784338477138101,0.943649116665208,0.9427281933314163,-0.0009209233337916789,0.9083224455187088,0.9068236856522411,-0.001498759866467636,0.968902421829733,0.9671290526944102,-0.0017733691353227776
1,ct_dst_sport_ltm,0.1,4.2077095488220095,5.784338477138101,0.943649116665208,0.9387923593650317,-0.004856757300176318,0.9083224455187088,0.9010113749584788,-0.007311070560229949,0.968902421829733,0.961111088217747,-0.007791333611985918
1,ct_dst_sport_ltm,0.2,4.2077095488220095,5.784338477138101,0.943649116665208,0.9357042747021724,-0.007944841963035576,0.9083224455187088,0.8963965986332446,-0.011925846885464164,0.968902421829733,0.9550313264714111,-0.013871095358321872
1,dmean,0.05,124.61254640956764,258.6732585945273,0.943649116665208,0.9447291361639825,0.0010800194987744538,0.9083224455187088,0.8938030336562348,-0.014519411862473963,0.968902421829733,0.9630776039525043,-0.005824817877228661
1,dmean,0.1,124.61254640956764,258.6732585945273,0.943649116665208,0.9459443018261896,0.0022951851609815943,0.9083224455187088,0.8938587722644362,-0.014463673254272558,0.968902421829733,0.9604110939841815,-0.00849132784555151
1,dmean,0.2,124.61254640956764,258.6732585945273,0.943649116665208,0.9464441430093983,0.0027950263441902656,0.9083224455187088,0.8916064732791482,-0.01671597223956056,0.968902421829733,0.9582396166541196,-0.010662805175613355
1,rate,0.05,95178.56966099625,164931.80067385136,0.943649116665208,0.9399557581609083,-0.0036933585042997485,0.9083224455187088,0.8872404757747404,-0.021081969743968365,0.968902421829733,0.9610488882942001,-0.007853533535532864
1,rate,0.1,95178.56966099625,164931.80067385136,0.943649116665208,0.9393798373665132,-0.004269279298694806,0.9083224455187088,0.8876994648312545,-0.020622980687454273,0.968902421829733,0.9601366685355732,-0.00876575329415974
1,rate,0.2,95178.56966099625,164931.80067385136,0.943649116665208,0.9376429783779795,-0.006006138287228513,0.9083224455187088,0.8878260213679119,-0.020496424150796888,0.968902421829733,0.9605004615975533,-0.00840196023217965
1,swin,0.05,116.26714801444044,127.00133759491955,0.943649116665208,0.943649116665208,0.0,0.9083224455187088,0.9083224455187088,0.0,0.968902421829733,0.9686997421641603,-0.00020267966557263595
1,swin,0.1,116.26714801444044,127.00133759491955,0.943649116665208,0.9436595063642502,1.0389699042212541e-05,0.9083224455187088,0.9083634468604485,4.1001341739677066e-05,0.968902421829733,0.966101661134418,-0.0028007606953149855
1,swin,0.2,116.26714801444044,127.00133759491955,0.943649116665208,0.9425232649891659,-0.0011258516760420667,0.9083224455187088,0.9077040439080717,-0.0006184016106370871,0.968902421829733,0.9616025218845073,-0.007299899945225619
1,dwin,0.05,115.02762331685116,126.88790252911241,0.943649116665208,0.9431439801717447,-0.0005051364934632874,0.9083224455187088,0.9083090091339944,-1.3436384714404781e-05,0.968902421829733,0.9694365637405258,0.000534141910792818
1,dwin,0.1,115.02762331685116,126.88790252911241,0.943649116665208,0.9427533508706,-0.0008957657946080388,0.9083224455187088,0.9081560989686055,-0.00016634655010328014,0.968902421829733,0.9692910191783637,0.0003885973486307259
1,dwin,0.2,115.02762331685116,126.88790252911241,0.943649116665208,0.9423561410325508,-0.0012929756326571784,0.9083224455187088,0.9079195391441917,-0.0004029063745171202,0.968902421829733,0.9693364315326949,0.00043400970296192387
2,sttl,0.05,179.47922049035878,102.96272475268796,0.9439726232702204,0.9428292389752836,-0.0011433842949367667,0.9081172657631114,0.9079789177972823,-0.000138347965829011,0.9682247802728583,0.9589560611164478,-0.009268719156410477
2,sttl,0.1,179.47922049035878,102.96272475268796,0.9439726232702204,0.9390165747244876,-0.0049560485457327275,0.9081172657631114,0.9043715774252361,-0.0037456883378752526,0.9682247802728583,0.9571688852625801,-0.01105589501027815
2,sttl,0.2,179.47922049035878,102.96272475268796,0.9439726232702204,0.9272043269535258,-0.01676829631669452,0.9081172657631114,0.8912724651571752,-0.016844800605936183,0.9682247802728583,0.9512445748450462,-0.01698020542781209
2,ct_state_ttl,0.05,1.3035912878334217,0.9528692795738815,0.9439726232702204,0.9439726232702204,0.0,0.9081172657631114,0.9081172657631114,0.0,0.9682247802728583,0.9682247802728583,0.0
2,ct_state_ttl,0.1,1.3035912878334217,0.9528692795738815,0.9439726232702204,0.9439726232702204,0.0,0.9081172657631114,0.9081172657631114,0.0,0.9682247802728583,0.9682247802728583,0.0
