fold,feature,perturbation_level,direction,clean_f1,perturbed_f1,delta_f1,clean_balanced_accuracy,perturbed_balanced_accuracy,delta_balanced_accuracy,clean_roc_auc,perturbed_roc_auc,delta_roc_auc,f1_degradation
1,sttl,0.05,-1,0.943649116665208,0.9424226849356282,-0.0012264317295798133,0.9083224455187088,0.9081228988773444,-0.0001995466413643454,0.968902421829733,0.9539043582043341,-0.014998063625398905,0.0012264317295798133
1,sttl,0.05,1,0.943649116665208,0.9436353863269873,-1.3730338220718785e-05,0.9083224455187088,0.9081693623064208,-0.0001530832122880188,0.968902421829733,0.9707178878216002,0.0018154659918672156,1.3730338220718785e-05
1,sttl,0.1,-1,0.943649116665208,0.9424226849356282,-0.0012264317295798133,0.9083224455187088,0.9081228988773444,-0.0001995466413643454,0.968902421829733,0.9539043582043341,-0.014998063625398905,0.0012264317295798133
1,sttl,0.1,1,0.943649116665208,0.9436353863269873,-1.3730338220718785e-05,0.9083224455187088,0.9081693623064208,-0.0001530832122880188,0.968902421829733,0.9707180736618498,0.001815651832116849,1.3730338220718785e-05
1,sttl,0.2,-1,0.943649116665208,0.9424226849356282,-0.0012264317295798133,0.9083224455187088,0.9081228988773444,-0.0001995466413643454,0.968902421829733,0.9539043582043341,-0.014998063625398905,0.0012264317295798133
1,sttl,0.2,1,0.943649116665208,0.9436353863269873,-1.3730338220718785e-05,0.9083224455187088,0.9081693623064208,-0.0001530832122880188,0.968902421829733,0.9707180736618498,0.001815651832116849,1.3730338220718785e-05
1,ct_state_ttl,0.05,-1,0.943649116665208,0.9395073891625616,-0.004141727502646408,0.9083224455187088,0.8916884699026195,-0.016633975616089258,0.968902421829733,0.9247896066173995,-0.044112815212333456,0.004141727502646408
1,ct_state_ttl,0.05,1,0.943649116665208,0.9450543978888142,0.0014052812236061696,0.9083224455187088,0.9076432808797883,-0.000679164638920482,0.968902421829733,0.9413900771218184,-0.027512344707914527,0.0
1,ct_state_ttl,0.1,-1,0.943649116665208,0.9395073891625616,-0.004141727502646408,0.9083224455187088,0.8916884699026195,-0.016633975616089258,0.968902421829733,0.9247896066173995,-0.044112815212333456,0.004141727502646408
1,ct_state_ttl,0.1,1,0.943649116665208,0.9450543978888142,0.0014052812236061696,0.9083224455187088,0.9076432808797883,-0.000679164638920482,0.968902421829733,0.9413900771218184,-0.027512344707914527,0.0
1,ct_state_ttl,0.2,-1,0.943649116665208,0.9394581280788178,-0.004190988586390221,0.9083224455187088,0.8916097611702312,-0.016712684348477613,0.968902421829733,0.9245887301409158,-0.04431369168881716,0.004190988586390221
1,ct_state_ttl,0.2,1,0.943649116665208,0.9450543978888142,0.0014052812236061696,0.9083224455187088,0.9076432808797883,-0.000679164638920482,0.968902421829733,0.9413900771218184,-0.027512344707914527,0.0
1,dload,0.05,-1,0.943649116665208,0.9433886976906579,-0.0002604189745500918,0.9083224455187088,0.9061448671071188,-0.002177578411589942,0.968902421829733,0.9749280145099759,0.006025592680242942,0.0002604189745500918
1,dload,0.05,1,0.943649116665208,0.9493642760153067,0.0057151593500986975,0.9083224455187088,0.9089775182586025,0.0006550727398937362,0.968902421829733,0.9750694423066082,0.006167020476875229,0.0
1,dload,0.1,-1,0.943649116665208,0.9404523618895116,-0.0031967547756963643,0.9083224455187088,0.903663980574792,-0.004658464943916751,0.968902421829733,0.9727962531265939,0.003893831296860939,0.0031967547756963643
1,dload,0.1,1,0.943649116665208,0.95125,0.00760088333479203,0.9083224455187088,0.9072237377629245,-0.001098707755784245,0.968902421829733,0.9737497826140414,0.004847360784308474,0.0
1,dload,0.2,-1,0.943649116665208,0.9385630424966133,-0.005086074168594745,0.9083224455187088,0.9024554365181423,-0.00586700900056647,0.968902421829733,0.9719914254655493,0.003089003635816323,0.005086074168594745
1,dload,0.2,1,0.943649116665208,0.9514314616875282,0.007782345022320225,0.9083224455187088,0.9038944817377346,-0.004427963780974209,0.968902421829733,0.9718092016941197,0.0029067798643866993,0.0
