,sbytes,sttl,dbytes,ct_state_ttl,dttl,rate,sload,dur
sbytes,0.0,0.0008407783459175033,0.0011157266154992462,0.0009724752225810929,0.0009323269957620117,0.0006908146555753558,0.0012838476672282217,0.00089501373413714
sttl,0.0008407783459175033,0.0,0.0001539666809446394,0.0,0.0,0.0,0.0,0.0
dbytes,0.0011157266154992462,0.0001539666809446394,0.0,0.00034084074781520757,0.00030055500096171084,0.0,4.225618466224823e-05,8.314069403619895e-05
ct_state_ttl,0.0009724752225810929,0.0,0.00034084074781520757,0.0,4.035562326387687e-05,0.0,0.0,0.0
dttl,0.0009323269957620117,0.0,0.00030055500096171084,4.035562326387687e-05,0.0,0.0,0.0,0.0
rate,0.0006908146555753558,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sload,0.0012838476672282217,0.0,4.225618466224823e-05,0.0,0.0,0.0,0.0,0.0
dur,0.00089501373413714,0.0,8.314069403619895e-05,0.0,0.0,0.0,0.0,0.0
