feature,mean_f1_degradation,worst_f1_degradation,mean_delta_f1,mean_delta_balanced_accuracy,mean_delta_roc_auc,robustness_cost
ct_state_ttl,0.02479691871419561,0.07579358441097117,-0.024260306941123928,-0.02505853536198591,-0.04293711898106545,0.05029525156258339
ct_dst_sport_ltm,0.01301942450686124,0.02236368381665166,-0.01301942450686124,-0.01881194013480066,-0.019936702900400356,0.01769155416175645
dmean,0.0030943957425917565,0.029554281046174413,0.0011487126813911495,-0.01290673232876565,-0.003505434033550118,0.016324338394383086
rate,0.0010580625502135492,0.00954821752972912,0.0010925657639764522,-0.004810819843457788,0.002854789031830624,0.005303140039971334
dload,0.0013123053283500706,0.0063301465593411654,0.0018360115928968874,-0.002765660530308479,0.0052702311421611485,0.003821225943845618
sttl,0.0013608203349658177,0.004029716338892708,-0.0013608203349658177,-0.0005709538714370743,-0.008770822335895791,0.002695268336929263
dwin,0.0009390184136989591,0.00294398578137256,-0.0009390184136989591,-0.00017352687419240156,0.0016346848764494351,0.0019415020975357595
swin,0.00010107921098904497,0.0007973449016478451,-0.00010107921098904497,2.389371643267567e-05,0.0009520309028193798,0.000449212056318445
