feature,mean_f1_degradation,worst_f1_degradation,mean_delta_f1,mean_delta_balanced_accuracy,mean_delta_roc_auc,robustness_cost
sttl,0.05943697472677781,0.13581596864949652,-0.05943697472677781,-0.10186193073095413,-0.05963361728138946,0.09762647168813716
ct_state_ttl,0.02479556777207949,0.07578199251732798,-0.02425895599900781,-0.02505249150896192,-0.042897283201833364,0.05028878014470373
ct_dst_sport_ltm,0.01301942450686124,0.02236368381665166,-0.01301942450686124,-0.01881194013480066,-0.019916636408105662,0.01769155416175645
dmean,0.0030943957425917565,0.029554281046174413,0.0011487126813911495,-0.01290673232876565,-0.0035054335846478693,0.016324338394383086
rate,0.0010580625502135492,0.00954821752972912,0.0010925657639764522,-0.004810819843457788,0.0028547894433126825,0.005303140039971334
dload,0.0013123053283500706,0.0063301465593411654,0.0018360115928968874,-0.002765660530308479,0.0052702318154985595,0.003821225943845618
dwin,0.0009390184136989591,0.00294398578137256,-0.0009390184136989591,-0.00017352687419240156,0.0016346848764494351,0.0019415020975357595
swin,0.00010107921098904497,0.0007973449016478451,-0.00010107921098904497,2.389371643267567e-05,0.0009520309402268334,0.000449212056318445
