outer_fold,method,selected_features,clean_f1,clean_balanced_accuracy,clean_roc_auc,mean_perturbed_f1,worst_perturbed_f1,mean_f1_degradation,worst_f1_degradation,mean_perturbed_balanced_accuracy,mean_perturbed_roc_auc
1,Baseline-QAOA-gamma0,"['sbytes', 'sttl', 'dbytes', 'rate']",0.9547407510677938,0.9344169860088956,0.9866606804559593,0.933580756175519,0.8579017264276229,0.02118374966887078,0.09683902464017091,0.9056073345376051,0.9713252434401781
1,Robust-QAOA-gamma1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9509506188592574,0.9328194911031404,0.9836135063629949,0.9014540350357171,0.7369886297034345,0.049496583823540226,0.21396198915582287,0.8809364313877035,0.9614745145370124
2,Baseline-QAOA-gamma0,"['sbytes', 'sttl', 'dbytes', 'rate']",0.9547588615684438,0.933485310930803,0.9867851853431944,0.9355067079992484,0.8861768839874581,0.01925215356919532,0.06858197758098572,0.9071790610262482,0.9706423437601295
2,Robust-QAOA-gamma1,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9504155478839024,0.9332877553387797,0.9845636462858897,0.9074633416451142,0.8041198010124441,0.042952206238788114,0.1462957468714583,0.8875199994015853,0.9634163980500725
3,Baseline-QAOA-gamma0,"['sbytes', 'sttl', 'dbytes', 'dttl']",0.9512805454127621,0.9336963696553642,0.9847756793096656,0.9045792019680748,0.7308695716990414,0.0467013434446872,0.22041097371372065,0.8844093747547618,0.9613371981846871
3,Robust-QAOA-gamma1,"['sbytes', 'sttl', 'dbytes', 'sload']",0.9563538143080729,0.9343287481388547,0.9873760906213851,0.9408134746780817,0.8859238051507826,0.015540339629991184,0.07043000915729025,0.9116573144626442,0.9716389031440045
