,sbytes,sttl,dbytes,ct_state_ttl,dttl,rate,sload,dur
sbytes,0.0,0.0003746148480364941,0.0004992856171373388,0.00048613391306805565,0.00046616349788099415,0.00022465115769429412,0.0008176841693471942,0.00042885023625609416
sttl,0.0003746148480364941,0.0,3.689180463744586e-06,0.0,0.0,0.0,0.0,0.0
dbytes,0.0004992856171373388,3.689180463744586e-06,0.0,0.00017038543570240612,0.00015027750048084458,0.0,0.0,0.0
ct_state_ttl,0.00048613391306805565,0.0,0.00017038543570240612,0.0,2.0177811631938436e-05,0.0,0.0,0.0
dttl,0.00046616349788099415,0.0,0.00015027750048084458,2.0177811631938436e-05,0.0,0.0,0.0,0.0
rate,0.00022465115769429412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sload,0.0008176841693471942,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dur,0.00042885023625609416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
