feature,perturbation_level,baseline_f1,positive_f1,negative_f1,positive_degradation,negative_degradation,mean_f1_degradation,worst_f1_degradation
sbytes,0.1,0.970431672627464,0.9698488299855043,0.9691498612778997,0.0005828426419597355,0.001281811349564288,0.0009323269957620117,0.001281811349564288
sttl,0.1,0.970431672627464,0.9705411529905823,0.9705576579199069,0.0,0.0,0.0,0.0
dbytes,0.1,0.970431672627464,0.9701675351367062,0.9700947001162984,0.0002641374907578209,0.0003369725111656008,0.00030055500096171084,0.0003369725111656008
ct_state_ttl,0.1,0.970431672627464,0.9703913170042001,0.9703913170042001,4.035562326387687e-05,4.035562326387687e-05,4.035562326387687e-05,4.035562326387687e-05
dttl,0.1,0.970431672627464,0.970431672627464,0.970431672627464,0.0,0.0,0.0,0.0
rate,0.1,0.970431672627464,0.9710997070495108,0.971136462814039,0.0,0.0,0.0,0.0
sload,0.1,0.970431672627464,0.97080640804538,0.9706224549156486,0.0,0.0,0.0,0.0
dur,0.1,0.970431672627464,0.9708168779879442,0.9710024510822152,0.0,0.0,0.0,0.0
