feature,mean_delta_f1,worst_delta_f1,mean_delta_balanced_accuracy,mean_delta_roc_auc,sensitivity_cost
swin,-0.008309130405397122,-0.02096406696445019,-0.005936872813448901,-0.009237358122312645,0.008309130405397122
sttl,-0.007729525572539673,-0.017276398274246096,-0.007271802915204264,-0.010850960215685978,0.007729525572539673
ct_dst_sport_ltm,-0.004533559021273331,-0.007944841963035576,-0.006697206313486224,-0.0075964940830998634,0.004533559021273331
rate,-0.002500352982071457,-0.006006138287228513,-0.01841766759258538,-0.007517147397864515,0.002500352982071457
dwin,-0.0006248951764969486,-0.0013494671681392179,-0.000151465639004194,0.00010288466952041503,0.0006248951764969486
ct_state_ttl,1.5103484284869259e-05,0.0,9.2269471225142e-06,-7.166626153863752e-05,-1.5103484284869259e-05
dmean,0.0019808789677560057,-0.00028649098899413694,-0.01391879727897062,-0.006648506098079186,-0.0019808789677560057
dload,0.005378385868777135,0.0038757782379685857,-0.013368870362153173,-0.00539379375359408,-0.005378385868777135
