feature,raw_relevance,normalized_relevance,raw_robustness_cost,normalized_robustness_cost
sttl,0.4917012804060424,1.0,0.0026952683369292,0.04505987442249056
ct_state_ttl,0.4055565413825126,0.8248026953430094,0.0502952515625833,1.0
dload,0.2394799834849073,0.4870436442368971,0.0038212259438456,0.06764858193203872
ct_dst_sport_ltm,0.1472057626428946,0.2993804745054425,0.0176915541617564,0.34591197768622917
dmean,0.171976942999117,0.34975898955784707,0.016324338394383,0.31848320338608516
rate,0.2162841679966978,0.43986903556177914,0.0053031400399713,0.0973784082292603
swin,0.0,0.0,0.0004492120563184,0.0
dwin,0.0,0.0,0.0019415020975357,0.029937986166980055
