method,mean_clean_f1,std_clean_f1,mean_clean_balanced_accuracy,mean_clean_roc_auc,mean_perturbed_f1,mean_f1_degradation,worst_f1_degradation,mean_perturbed_balanced_accuracy,mean_perturbed_roc_auc
Baseline-QAOA-gamma0,0.9535933860163333,0.0020029991863962228,0.9338662221983544,0.9860738483696064,0.9245555553809474,0.0290457488942511,0.1286106586449591,0.8990652567728716,0.9677682617949982
Robust-QAOA-gamma1,0.9525733270170775,0.0032849107073404274,0.9334786648602583,0.9851844144234233,0.916576950452971,0.03599637656410651,0.14356258172819047,0.893371248417311,0.9655099385770298
